Apps                                    Avg Num     Num Machines
OneDrive                                5.0         1
pma                                     5.0         1
EEventManager                           5.0         1
com.avast.fileshield                    5.0         1
Microsoft\x20Outlook                    5.0         1
P72E3GC48.com.dashlane.Dashlane         5.0         1
DashlanePluginMASService                5.0         1
nesessionmanager                        5.0         1
com.avast.helper                        5.0         1
com.avast.service                       5.0         1
com.avast.proxy                         5.0         1
com.avast.daemon                        5.0         1
kextfind                                5.0         1
zotero                                  5.0         1
NetAuthSysAgent                         5.0         1
com.apple.preference.general.re         5.0         1
com.apple.preference.desktopscr         5.0         1
com.apple.preference.displays.A         5.0         1
com.apple.preference.energysave         5.0         1
pdftex                                  5.0         1
p                                       5.0         1
Similar\x20Photo\x20Cleaner             5.0         1
plugin-container                        5.0         1
remoting_me2me_host                     5.0         1
firefox                                 5.0         1
Spark                                   5.0         1
cfbackd                                 5.0         1
spindump                                5.0         1
Backup\x20and\x20Sync                   5.0         1
WunderlistHelper                        5.0         1
Adobe\x20Installer                      5.0         1
AppStats                                5.0         1
Slack                                   5.0         1
Slack\x20Helper                         5.0         1
Microsoft.Python.LanguageServer         5.0         1
routined                                5.0         1
eoshostd                                5.0         1
TouchBarServer                          5.0         1
xartstorageremoted                      5.0         1
biometrickitd                           5.0         1
AirPlayUIAgent                          5.0         1
softwareupdated                         5.0         1
powerd                                  5.0         1
com.apple.dock.extra                    5.0         1
DrCleaner                               5.0         1
recentsd                                5.0         1
ScopedBookmarkAgent                     5.0         1
photolibraryd                           5.0         1
mds_stores                              5.0         1
rcd                                     5.0         1
CMFSyncAgent                            5.0         1
mdwrite                                 5.0         1
AppleIDAuthAgent                        5.0         1
cloudpaird                              5.0         1
lsd                                     5.0         1
WDSecurityHelper                        5.0         1
IMLoggingAgent                          5.0         1
launchservicesd                         5.0         1
Java\x20Updater                         5.0         1
distnoted                               5.0         1
com.apple.hiservices-xpcservice         5.0         1
mysqld                                  5.0         1
com.apple.tonelibraryd                  5.0         1
nehelper                                5.0         1
cloudphotosd                            5.0         1
soagent                                 5.0         1
AdobeCRDaemon                           5.0         1
com.apple.AddressBook.FaceTimeS         5.0         1
DataDetectorsDynamicData                5.0         1
awdd                                    5.0         1
authd                                   5.0         1
com.apple.photomodel                    5.0         1
sharedfilelistd                         5.0         1
ocspd                                   5.0         1
CallHistorySyncHelper                   5.0         1
IMDPersistenceAgent                     5.0         1
IDSKeychainSyncingProxy                 5.0         1
Image\x20Capture\x20Extension           5.0         1
iconservicesd                           5.0         1
opendirectoryd                          5.0         1
coreduetd                               5.0         1
SubmitDiagInfo                          5.0         1
diskarbitrationd                        5.0         1
askpermissiond                          5.0         1
com.apple.AddressBook.ContactsA         5.0         1
CallHistoryPluginHelper                 5.0         1
storedownloadd                          5.0         1
fontd                                   5.0         1
com.apple.photomoments                  5.0         1
warmd                                   5.0         1
storeaccountd                           5.0         1
tccd                                    5.0         1
coreservicesd                           5.0         1
storeassetd                             5.0         1
cloudfamilyrestrictionsd                5.0         1
appleeventsd                            5.0         1
iconservicesagent                       5.0         1
coreaudiod                              5.0         1
useractivityd                           5.0         1
SpotlightNetHelper                      5.0         1
CalNCService                            5.0         1
networkd                                5.0         1
AppleSpell                              5.0         1
